sleep_duration_hours,quality_rating,stress_level,caffeine_cups,screen_time_before_bed,exercise_today,alcohol_consumed,nap_duration_mins,night_awakenings,age,weight_kg,height_cm,sleep_goal_hours,sleep_score
6.25,5,2,4,74,0,1,20,4,53,56.5,183.8,7.0,28.47
6.97,2,1,5,36,1,0,20,0,52,51.7,190.6,8.5,23.65
4.05,3,1,3,139,0,0,30,0,24,107.2,180.5,7.5,25.64
9.29,5,5,2,139,0,1,20,3,40,95.8,155.1,8.0,33.06
6.16,10,5,2,74,1,0,0,1,61,101.3,187.7,8.5,38.01
6.48,2,10,1,4,0,0,0,4,18,102.2,160.7,9.0,9.48
6.14,6,7,2,89,0,0,0,4,30,71.3,175.7,7.5,14.89
8.53,9,1,0,55,0,1,0,1,61,108.6,175.0,9.0,72.98
7.08,5,4,2,146,1,0,0,0,31,64.1,194.8,8.5,36.08
8.05,9,10,5,151,1,0,0,3,53,75.1,165.9,6.5,31.55
6.04,4,6,0,160,0,1,0,4,30,104.2,187.0,6.5,39.99
9.02,9,2,1,55,1,1,0,4,50,95.5,171.6,9.0,59.98
7.35,9,6,2,26,0,0,0,0,52,53.7,150.6,9.0,30.84
7.31,5,6,2,22,0,0,60,1,36,61.1,170.3,8.5,22.17
5.98,4,1,0,31,1,1,0,1,51,76.0,187.4,6.5,53.66
7.2,5,9,0,111,0,0,0,4,38,86.6,186.2,9.0,19.26
8.27,3,2,3,165,0,1,60,5,59,101.1,192.7,7.5,22.72
8.45,1,4,4,33,1,0,0,5,60,82.7,165.4,9.0,29.47
5.68,8,9,2,95,0,0,20,1,36,98.4,165.5,6.5,51.8
6.87,10,2,0,77,1,0,0,1,64,85.8,153.7,8.5,45.33
6.55,1,10,3,0,1,0,0,3,32,79.9,191.6,8.5,5.82
5.18,8,2,4,153,1,0,0,2,64,99.9,183.7,7.5,31.1
6.85,3,3,0,118,0,1,0,0,34,58.7,164.7,7.5,46.7
6.16,9,4,1,66,0,0,0,3,64,92.9,175.1,6.0,61.22
4.59,5,6,3,25,1,1,0,2,62,66.5,192.0,8.0,17.37
6.22,8,7,0,130,0,0,0,3,41,52.3,167.9,7.5,25.71
6.99,6,3,5,78,0,1,0,4,61,58.3,193.6,7.5,28.25
7.34,1,1,1,141,1,1,0,2,53,65.8,176.7,8.5,7.58
5.97,7,10,3,129,0,1,30,0,54,45.2,155.3,9.0,8.55
4.03,1,5,5,177,1,0,20,0,51,56.8,153.0,8.5,9.11
7.64,3,5,4,4,0,0,0,5,21,65.6,176.5,6.5,28.46
6.7,3,6,0,22,0,0,0,0,50,70.4,173.9,8.0,35.17
7.28,3,6,5,66,0,0,0,3,32,102.1,172.3,8.5,8.11
7.22,6,9,0,154,0,0,0,5,19,94.6,189.5,6.0,34.24
7.1,4,8,3,14,0,1,0,3,29,95.2,150.5,7.0,36.69
7.5,5,4,2,73,1,1,0,1,63,85.0,191.0,8.5,27.2
6.68,8,4,3,132,1,0,20,1,45,69.3,153.1,7.0,67.28
7.22,6,7,0,45,0,0,0,3,40,104.9,189.1,9.0,26.3
7.65,9,5,0,179,0,0,0,2,42,101.1,191.5,9.0,30.42
8.52,1,3,5,151,0,0,0,4,41,65.2,185.1,7.0,18.04
5.78,4,9,0,147,1,1,0,4,57,77.6,176.8,8.0,8.15
5.36,8,3,5,31,1,0,0,4,47,99.4,176.4,6.0,42.73
6.69,2,6,3,112,1,1,0,3,18,66.7,153.4,7.0,44.78
5.31,2,1,3,31,1,0,20,0,20,60.0,180.2,8.0,30.13
4.95,5,3,2,96,1,0,20,2,49,109.3,177.1,8.5,33.33
6.57,5,6,4,141,0,0,45,1,24,92.8,188.2,8.0,14.78
7.4,2,2,0,46,0,1,0,1,20,83.4,162.1,8.0,51.08
8.42,9,2,4,171,0,1,90,3,41,52.4,175.5,7.0,28.99
7.14,1,2,2,13,0,1,20,0,56,59.2,179.0,8.5,17.02
7.02,2,7,4,74,1,1,0,1,53,77.4,153.0,8.0,31.08
8.23,7,5,1,85,0,0,60,5,44,83.8,177.0,6.0,37.08
10.31,1,10,4,121,1,1,0,5,60,57.0,154.1,7.0,4.32
6.27,8,4,0,38,1,0,60,5,39,92.6,159.7,7.5,24.51
5.52,4,1,5,108,0,1,0,1,26,49.9,182.8,6.0,47.34
7.92,9,7,2,130,1,0,0,2,47,45.3,154.6,8.0,70.97
5.42,8,3,4,80,0,0,20,5,25,61.2,172.0,9.0,16.15
6.66,10,10,0,150,1,0,0,5,32,90.3,163.4,6.5,60.37
8.63,4,7,2,145,0,1,0,5,48,68.7,175.2,8.0,32.59
7.27,8,10,3,38,0,1,0,4,39,65.7,178.2,8.0,29.3
5.38,7,3,1,33,1,0,45,4,35,106.0,185.9,9.0,30.16
10.12,9,10,5,152,0,0,0,0,47,45.2,171.0,8.5,36.05
7.55,5,9,0,72,0,0,0,3,29,107.2,185.9,8.0,57.33
6.8,8,8,2,61,0,1,0,3,21,60.1,192.4,9.0,11.49
7.74,10,2,0,168,0,1,30,5,22,48.8,193.6,6.0,42.49
10.0,1,10,2,177,1,1,90,2,49,75.1,178.0,8.0,18.41
9.83,5,2,2,104,1,0,0,4,26,47.9,188.3,6.5,48.35
7.65,5,2,3,37,1,0,20,1,35,50.3,159.9,8.0,72.02
8.09,3,8,1,39,0,0,0,5,41,96.8,179.6,6.0,29.81
6.68,9,5,1,99,0,0,30,4,60,107.5,170.9,9.0,23.39
6.8,5,7,1,99,1,1,30,3,56,57.6,153.8,7.0,48.64
7.03,2,8,4,162,1,1,0,1,58,107.6,165.4,7.5,36.27
7.67,6,4,3,95,1,1,60,0,29,49.4,176.2,6.0,38.72
6.3,3,4,4,6,0,0,30,2,28,89.4,170.1,8.5,22.53
7.81,3,9,4,156,0,1,30,5,37,87.5,162.3,6.0,7.36
7.52,5,4,5,146,0,0,90,0,55,59.9,159.6,6.0,31.86
5.5,8,9,0,92,0,1,30,5,24,85.7,155.9,8.0,15.76
6.81,7,1,5,83,1,0,0,0,39,82.8,162.1,7.0,65.71
9.36,2,6,2,44,0,0,90,0,25,92.1,183.7,6.0,36.38
7.0,6,4,0,167,1,1,0,1,50,50.7,165.8,6.0,61.52
6.43,7,2,5,102,1,1,20,1,59,55.9,154.7,7.0,46.83
9.04,9,2,3,7,1,1,0,3,64,98.0,153.6,7.5,49.92
9.59,6,10,2,126,0,1,20,2,35,48.9,161.1,8.0,31.32
9.84,3,7,5,99,0,1,45,4,49,77.4,175.0,6.5,5.93
5.43,8,9,2,130,1,1,0,4,46,72.2,159.2,9.0,15.76
8.31,10,8,3,36,1,1,0,3,41,80.3,173.1,6.0,40.47
9.02,4,2,1,163,1,0,0,2,29,70.0,171.0,8.0,49.62
6.25,8,4,5,86,1,1,0,1,54,100.5,172.2,8.5,19.32
6.76,8,7,0,83,1,0,0,2,42,108.0,161.6,8.0,34.19
7.02,8,4,4,150,0,0,0,2,31,66.5,170.2,7.5,56.72
6.69,4,8,2,0,0,1,0,3,60,92.9,179.9,8.0,8.7
7.85,8,6,3,147,1,1,0,4,37,48.4,178.8,7.0,51.01
7.88,5,1,0,178,1,1,0,4,41,89.6,150.8,6.0,43.26
8.1,8,2,3,37,1,0,0,4,33,106.1,183.0,6.5,51.81
7.72,6,5,5,174,1,0,30,1,60,89.4,172.4,6.0,36.07
7.22,1,8,0,45,1,0,0,5,22,82.5,165.7,6.5,49.0
6.92,9,5,4,158,0,0,45,4,55,66.3,180.0,8.5,9.49
7.95,1,8,5,53,0,0,0,0,29,84.6,175.4,7.0,42.06
5.81,1,1,2,171,1,1,0,5,31,85.3,170.9,7.0,0.04
7.75,2,6,3,116,0,1,0,4,51,79.2,161.1,7.5,29.31
8.66,6,2,3,122,0,0,30,2,33,87.1,190.4,6.0,46.63
5.58,4,5,4,18,1,1,0,4,63,65.0,186.1,7.0,9.49
6.01,2,2,0,76,1,1,0,2,24,89.3,158.2,8.0,24.96
6.3,1,10,4,41,1,1,0,5,24,98.0,166.8,8.0,0.0
7.57,7,6,5,20,1,1,0,0,32,84.7,168.5,8.0,56.75
7.21,1,10,2,36,1,1,20,3,56,88.4,154.3,7.5,35.6
6.71,5,1,2,107,1,0,0,0,39,46.5,178.9,7.5,60.55
7.67,9,9,5,152,1,1,0,4,35,71.3,169.3,9.0,0.93
8.25,4,10,5,41,1,0,30,3,57,86.9,176.8,6.0,23.07
5.68,9,7,3,12,0,1,0,4,61,60.2,174.3,8.5,7.97
9.03,10,3,5,69,1,0,0,5,34,109.7,170.1,7.5,45.81
7.12,4,5,4,30,0,0,0,1,47,74.3,184.0,6.0,37.46
4.2,7,3,5,4,1,1,30,0,47,78.9,178.1,6.5,24.87
7.51,5,6,3,141,1,0,0,4,19,69.8,165.6,6.0,36.31
4.8,4,7,1,54,1,0,30,5,54,70.4,172.6,6.0,16.22
7.1,3,8,1,157,1,1,0,3,31,50.3,168.1,6.5,43.7
6.48,4,2,1,24,1,0,0,0,53,84.4,156.3,8.5,36.57
6.38,3,9,5,24,0,0,0,4,51,77.9,160.5,8.0,0.0
7.61,4,2,4,59,0,1,0,2,19,87.3,156.8,7.0,47.2
5.4,9,2,5,10,1,0,0,0,40,60.5,156.4,6.0,65.5
6.15,7,1,3,3,0,1,30,3,46,85.6,173.7,9.0,23.96
8.05,3,7,2,91,1,1,0,4,39,107.6,161.2,8.5,43.49
6.53,5,10,1,119,0,0,0,4,43,60.7,193.9,6.5,45.99
5.33,5,4,4,25,1,1,45,3,35,75.9,166.9,7.5,6.88
6.63,10,1,0,16,1,0,60,1,46,63.2,191.9,7.5,78.05
7.71,7,2,2,176,0,0,0,4,36,51.9,194.5,9.0,24.53
6.73,9,7,2,128,0,0,0,0,22,78.1,167.4,9.0,32.5
5.82,3,7,2,27,0,0,0,4,47,99.0,153.1,6.5,32.62
7.73,2,2,2,48,1,1,0,0,58,107.4,171.5,9.0,26.33
8.75,2,10,0,167,1,0,0,2,31,73.6,177.6,8.5,58.4
7.38,3,1,4,121,1,1,45,0,29,104.7,161.4,8.0,39.97
7.45,7,6,5,88,1,1,0,1,19,53.6,182.7,7.0,55.86
6.98,7,8,3,21,0,0,0,2,36,54.9,154.2,7.5,47.91
8.55,8,10,1,143,1,0,20,2,18,63.1,158.7,6.5,49.25
5.45,5,7,2,154,1,0,0,0,53,45.3,184.2,8.5,28.73
7.99,4,3,5,55,0,0,0,4,21,91.9,189.9,7.0,47.06
7.47,6,8,4,37,1,1,0,4,37,71.2,189.3,8.0,29.14
6.32,10,7,3,131,1,1,0,5,35,84.1,151.0,7.0,38.69
6.02,6,8,4,75,1,1,20,3,36,73.6,156.6,9.0,8.49
5.95,4,1,2,46,0,0,60,4,50,72.4,178.6,9.0,19.31
6.73,7,9,1,143,0,0,0,1,20,46.7,151.1,8.5,21.86
9.02,3,5,2,169,0,1,0,4,46,75.0,171.6,8.0,24.7
5.6,6,10,3,125,0,0,0,0,41,92.4,184.4,8.5,10.22
6.44,9,4,0,35,0,1,0,1,47,47.4,162.4,9.0,33.8
6.73,6,10,0,69,1,0,0,2,37,85.3,175.3,8.0,29.8
4.09,7,6,1,159,1,0,90,4,59,98.8,185.4,8.5,19.65
7.95,10,5,0,146,0,0,60,3,58,46.4,182.4,9.0,21.87
7.76,7,1,0,151,0,0,45,1,60,49.4,181.9,6.0,50.15
5.39,2,1,1,84,0,1,20,0,19,51.3,188.8,7.0,25.35
7.74,8,8,5,58,1,0,0,0,49,61.8,157.4,9.0,33.24
7.95,8,8,4,78,1,1,45,2,58,81.4,183.8,6.0,29.83
8.06,1,10,3,5,0,1,0,2,60,95.4,193.4,7.5,30.6
4.8,9,4,4,84,1,0,0,5,57,78.8,170.1,8.5,19.8
6.23,3,3,2,113,0,1,0,3,18,47.2,166.4,7.5,12.82
6.34,6,6,2,31,0,1,20,0,62,109.0,180.1,8.0,22.8
7.47,3,1,3,24,1,1,0,5,22,108.3,165.2,6.0,29.38
7.2,3,9,2,174,1,1,0,1,39,98.8,165.1,6.5,49.45
6.45,10,1,4,162,1,1,0,1,28,87.3,177.9,8.5,29.59
7.95,3,1,3,124,1,1,0,3,64,56.4,188.5,7.5,48.22
6.73,10,9,5,142,0,0,0,4,63,94.4,190.7,6.0,39.98
7.87,2,3,0,133,0,0,0,2,51,74.1,170.7,7.5,58.07
5.86,3,4,0,24,1,1,0,5,40,53.3,181.8,8.5,15.29
7.24,9,4,4,70,1,0,0,3,36,101.7,155.1,8.5,29.62
4.96,5,3,0,77,1,0,0,3,45,100.4,180.1,8.5,35.52
7.67,1,3,2,63,1,1,0,4,22,61.4,159.9,7.5,51.16
7.32,1,2,0,7,0,0,0,3,29,75.2,156.2,7.0,61.69
6.84,8,5,2,37,1,0,20,3,24,53.6,160.5,7.5,60.13
9.61,2,8,1,90,0,0,0,5,23,102.9,150.1,8.0,25.47
6.27,8,3,3,105,0,0,0,0,52,57.7,177.5,8.0,30.89
9.98,6,1,5,112,1,1,0,3,50,67.0,186.1,6.0,32.66
6.41,6,9,0,87,0,0,0,4,56,82.4,151.3,7.0,36.57
6.92,1,8,3,18,1,1,60,4,62,84.5,163.9,8.0,0.0
7.83,7,7,0,174,1,1,0,3,47,97.0,179.8,8.0,57.76
6.75,4,1,0,75,1,0,0,1,46,89.1,166.3,7.0,73.04
7.07,3,6,0,120,0,1,0,5,44,93.2,173.8,7.0,47.64
5.63,1,9,5,11,0,0,0,4,32,47.8,155.5,6.0,31.46
6.79,8,9,5,27,0,1,45,3,52,50.0,174.4,8.5,0.0
6.68,2,3,2,155,1,0,30,2,49,69.1,177.0,7.5,51.8
7.69,2,8,3,164,0,1,0,0,18,106.5,165.3,6.5,17.82
8.57,1,1,5,63,0,1,0,3,29,81.4,154.7,6.0,25.59
6.94,8,8,2,66,0,0,0,2,63,47.0,167.5,6.5,53.36
5.07,5,10,4,121,0,0,90,4,52,102.7,177.1,7.5,0.0
5.97,4,1,4,21,1,0,0,0,30,80.2,184.3,7.0,34.08
6.48,2,3,1,84,1,0,0,3,28,81.3,165.6,7.5,27.76
7.39,4,3,4,16,0,1,0,5,41,85.3,159.1,8.0,26.89
7.1,5,4,5,146,0,1,0,1,28,68.0,170.6,8.5,7.88
7.37,5,1,3,168,1,1,60,0,36,78.3,154.2,7.5,55.33
7.31,10,4,5,74,0,1,30,2,28,104.7,166.3,6.0,40.67
8.43,4,7,4,162,1,0,0,3,62,73.5,188.1,7.0,27.49
5.68,5,7,1,21,0,1,20,5,27,53.7,163.5,7.5,5.25
6.25,8,9,5,46,0,0,0,1,57,64.2,150.6,6.0,52.55
8.45,5,8,4,127,0,0,45,2,19,51.8,168.0,6.5,21.45
6.8,6,3,2,141,1,0,60,1,62,107.1,173.5,6.5,58.57
7.0,10,6,3,65,1,1,0,3,51,63.3,186.2,8.5,17.38
6.44,6,7,4,38,0,0,0,4,30,84.2,166.1,6.0,44.14
6.16,7,7,5,73,1,1,0,3,37,89.4,160.9,7.5,10.82
6.08,6,4,4,58,0,1,0,5,51,53.7,178.3,7.0,22.96
6.21,9,1,1,92,1,1,0,5,34,49.1,187.8,6.0,57.82
7.58,9,1,2,146,0,0,45,3,53,104.0,192.4,7.0,58.11
6.73,3,5,0,156,0,1,0,1,64,55.9,182.1,8.0,16.77
6.3,1,4,0,93,0,0,0,2,29,110.0,154.7,8.5,19.41
7.0,9,3,1,104,1,0,30,1,54,98.4,188.3,6.0,62.84
6.56,8,6,0,99,0,0,0,1,26,53.9,179.3,6.5,77.01
7.17,6,6,0,99,0,1,0,4,27,80.3,154.5,6.5,48.68
6.73,9,3,5,16,1,1,0,4,60,102.0,151.9,6.5,46.98
5.58,1,8,3,26,1,0,0,5,58,52.8,162.0,8.0,5.48
8.49,7,4,0,125,1,1,0,4,53,80.6,189.6,7.0,38.36
7.8,8,6,2,131,1,0,20,4,51,84.2,171.3,7.5,58.66
6.17,10,8,0,118,0,1,90,1,28,107.6,153.4,6.0,57.94
7.79,7,10,0,25,0,1,0,2,28,108.8,173.7,7.5,51.57
8.9,1,1,3,101,1,1,0,0,63,49.0,156.6,8.0,49.09
5.11,8,6,0,177,1,0,30,4,38,107.6,177.9,8.5,29.95
6.78,10,3,5,5,0,1,0,2,61,99.8,194.2,8.0,22.45
4.15,6,9,3,98,1,1,0,2,43,79.0,159.9,8.0,14.03
9.43,7,6,5,153,1,1,30,4,51,90.4,167.8,6.5,17.91
6.89,10,8,5,95,1,0,0,2,56,95.8,193.2,6.5,57.04
6.99,9,5,1,35,0,1,60,1,60,48.0,186.4,6.5,62.02
8.67,6,5,2,120,0,0,45,4,27,103.6,156.9,9.0,47.7
5.39,5,3,2,112,0,0,0,0,35,109.5,167.4,8.0,25.96
8.65,2,1,1,153,0,1,0,1,28,93.9,160.3,6.0,34.77
7.26,9,4,4,138,1,0,0,3,43,99.6,156.5,9.0,25.83
6.77,4,7,1,83,0,1,0,4,25,57.1,164.9,9.0,9.5
7.11,4,10,2,164,0,0,0,2,57,48.1,182.7,8.0,32.05
7.82,3,2,0,176,0,0,0,4,22,70.5,174.6,6.0,44.58
6.19,10,8,5,84,0,1,0,2,39,92.4,193.5,8.5,11.3
7.97,9,5,4,86,1,1,45,4,42,61.4,162.2,6.0,34.65
7.94,6,4,5,53,0,1,20,2,48,94.0,150.9,6.5,29.48
7.5,10,6,0,16,1,1,0,0,38,81.4,185.1,9.0,46.67
4.23,9,8,1,103,0,1,0,5,18,52.9,155.6,8.0,12.04
6.49,9,9,4,69,1,1,90,2,34,90.6,182.7,9.0,13.23
8.96,1,3,1,14,1,1,0,3,35,46.0,185.2,7.0,30.6
6.93,4,8,2,156,0,1,0,0,57,48.4,172.7,7.0,45.36
5.76,3,3,3,79,0,0,45,3,48,65.1,163.1,8.5,10.72
8.27,7,8,2,113,1,0,60,1,33,55.6,158.4,7.5,61.08
5.8,1,6,0,4,0,1,0,5,50,63.6,169.5,7.0,1.56
6.39,7,4,0,140,1,1,20,5,40,72.2,183.8,7.5,20.97
5.84,10,9,0,135,1,1,0,0,19,108.1,155.1,8.5,31.13
5.39,4,9,0,176,1,0,0,1,51,76.4,162.1,7.5,24.22
9.25,10,7,2,156,0,1,0,0,37,83.9,178.1,9.0,61.97
9.45,6,3,5,26,1,0,20,5,58,79.2,161.2,6.5,35.95
6.74,6,4,1,157,0,0,0,0,62,82.9,161.4,7.5,55.83
7.91,6,6,0,73,1,0,0,2,38,104.4,169.5,9.0,38.94
7.06,10,3,3,16,0,0,20,1,37,58.3,179.4,8.0,67.01
7.43,1,9,5,68,0,1,60,2,20,59.0,176.9,6.5,23.94
5.23,2,6,2,163,0,0,0,5,20,85.1,183.4,7.0,0.61
6.08,10,1,0,133,0,0,0,3,45,104.5,188.7,6.5,75.18
6.72,10,6,1,167,1,1,0,4,32,49.2,187.1,8.5,27.36
7.56,4,6,4,106,1,1,60,0,20,71.6,179.5,6.0,34.5
8.79,5,2,2,108,0,1,0,3,22,45.5,191.6,7.0,35.66
10.54,5,10,3,87,0,0,0,4,53,86.1,166.8,6.5,26.83
6.72,3,3,5,168,1,0,20,0,29,100.8,183.7,6.0,53.95
4.21,4,7,4,144,0,1,45,4,23,96.3,163.4,8.5,0.0
6.15,3,4,1,27,0,1,0,5,36,66.8,183.7,7.0,29.32
4.49,1,3,2,73,1,0,30,4,51,71.8,189.2,6.5,18.31
6.95,7,8,1,16,0,0,0,0,20,58.3,172.9,8.0,39.26
7.64,9,3,4,116,0,1,20,0,45,90.3,183.9,8.0,63.64
7.43,3,3,5,156,0,0,45,4,32,75.3,153.4,8.5,0.52
5.92,8,6,5,103,1,0,0,0,62,74.3,173.1,8.5,23.55
4.75,3,3,5,63,1,0,20,3,28,87.7,181.9,7.0,17.26
8.33,1,9,3,158,1,1,30,0,53,94.8,176.3,8.0,37.29
4.4,10,4,0,98,0,0,0,4,24,88.1,165.6,8.5,34.65
7.43,7,3,4,63,1,1,45,4,39,94.3,163.8,8.0,36.05
5.81,8,8,2,56,1,0,0,5,47,104.0,172.8,9.0,23.93
9.49,2,3,1,22,1,1,30,5,55,79.7,178.7,7.0,34.03
5.29,5,10,5,12,0,1,30,1,56,95.5,187.0,9.0,3.92
7.89,1,8,0,164,0,1,0,4,49,60.8,175.1,8.5,27.45
5.52,8,8,4,103,0,1,0,2,50,82.5,153.0,7.0,13.06
7.91,10,3,4,90,0,0,0,4,30,53.5,151.0,7.0,60.34
6.64,5,3,5,165,0,1,60,0,49,65.1,156.0,7.0,45.8
4.9,3,9,3,60,0,0,20,1,27,54.0,176.0,7.0,8.92
6.62,2,7,3,58,0,0,0,1,21,101.0,170.8,8.5,17.44
6.29,2,7,5,119,0,0,0,4,40,89.9,181.4,6.0,32.9
7.11,1,7,3,142,1,1,0,1,64,74.4,192.7,6.5,36.52
8.86,8,6,3,165,0,1,0,5,30,55.0,175.8,8.5,42.56
6.22,8,8,2,149,1,1,0,1,47,104.5,177.7,9.0,22.69
7.4,7,8,2,87,1,0,0,2,37,59.1,181.1,9.0,29.5
6.96,5,4,3,52,0,1,30,1,47,64.9,174.8,6.5,53.63
6.79,6,8,1,159,1,0,0,2,54,94.4,193.5,7.5,43.35
8.05,8,8,3,137,0,1,0,4,30,49.1,159.5,8.5,38.48
7.24,6,8,5,129,0,0,20,5,49,55.1,171.5,6.5,36.56
5.6,3,7,0,64,0,0,0,0,59,63.3,166.4,8.5,25.42
7.65,3,8,0,142,1,0,0,4,34,94.7,192.3,6.5,42.19
6.94,9,6,2,70,0,0,30,3,42,78.4,190.6,8.0,22.45
9.28,10,6,3,38,1,0,20,2,55,53.6,188.5,8.0,56.61
5.91,6,2,5,95,0,1,90,5,23,69.3,185.9,7.0,0.0
6.63,5,4,0,126,0,0,0,1,37,61.2,161.8,8.0,34.02
8.62,1,4,3,80,1,1,0,4,34,64.1,160.7,7.0,29.32
6.21,7,5,0,155,0,0,0,1,35,78.3,181.7,8.0,31.3
6.37,2,5,5,148,1,0,0,2,32,104.2,172.9,9.0,14.73
7.37,1,9,3,136,1,0,0,2,28,74.2,160.7,9.0,6.24
8.84,9,9,2,11,0,0,30,5,28,82.0,179.3,6.0,37.56
7.9,5,8,5,85,1,1,0,2,25,95.4,160.5,7.0,37.81
5.8,2,8,2,102,1,0,0,2,55,64.2,177.9,8.0,9.9
7.4,10,1,2,163,1,0,0,0,58,67.5,169.6,7.0,81.1
5.69,8,8,2,27,0,1,0,0,29,57.1,166.8,7.5,20.26
6.43,8,8,5,24,0,1,0,5,59,103.8,179.1,6.5,30.91
6.33,3,10,2,112,0,0,0,4,61,71.7,168.1,9.0,0.0
8.53,4,7,0,88,1,1,60,4,42,101.1,187.0,8.0,42.45
7.28,6,10,1,109,1,0,0,4,41,52.6,174.6,6.0,43.5
7.05,5,3,5,103,0,1,45,1,27,66.2,150.5,9.0,5.3
7.98,10,5,4,55,0,0,0,4,26,103.2,185.3,7.5,54.52
8.19,7,10,4,122,1,0,0,4,45,108.9,161.7,9.0,36.89
6.16,2,7,3,88,1,0,0,4,64,82.3,156.2,6.5,43.84
8.3,1,6,5,98,0,1,0,0,34,81.2,157.0,8.5,35.32
5.18,6,3,5,13,0,1,30,5,44,95.8,162.4,7.0,0.0
6.83,2,10,4,19,1,1,20,1,35,66.6,191.8,8.5,3.09
6.84,7,3,2,162,0,0,0,3,52,71.2,187.5,8.0,19.38
8.09,2,1,2,31,1,0,0,5,54,49.6,167.8,7.5,52.04
6.45,4,10,3,95,0,1,0,5,25,77.7,182.9,6.0,28.0
8.07,7,8,3,114,0,1,0,2,47,93.9,173.9,8.0,43.71
6.41,2,7,4,93,1,1,30,5,61,69.6,191.2,6.5,31.45
6.93,9,5,1,5,1,1,0,2,59,45.4,194.0,7.5,58.99
5.66,3,5,5,34,1,0,0,2,30,109.4,151.2,7.5,14.15
6.79,2,1,2,72,0,1,0,4,64,77.3,191.3,6.0,37.01
6.61,9,10,5,57,1,0,30,0,31,55.4,165.1,6.5,60.08
6.55,2,9,1,53,0,0,0,2,35,100.8,182.9,8.5,13.21
6.17,10,4,5,129,1,0,0,5,57,51.1,168.5,7.0,44.84
6.29,8,4,4,7,0,1,0,3,46,85.7,162.9,9.0,17.73
7.81,4,5,4,142,1,0,0,2,30,82.2,186.2,7.0,50.44
7.12,9,6,3,129,1,1,20,4,53,83.0,165.2,6.5,50.3
7.63,4,6,3,179,0,1,0,2,36,87.1,189.4,9.0,2.59
7.62,4,2,1,4,1,0,20,4,39,88.6,162.2,6.5,52.79
6.93,7,4,2,158,1,0,0,4,48,63.8,171.0,6.5,58.6
4.98,2,8,0,95,1,1,0,4,48,89.8,187.0,9.0,2.64
7.26,2,1,0,91,1,0,20,4,59,96.4,177.1,7.5,56.93
6.46,10,1,5,48,1,1,0,5,37,62.9,184.6,8.0,21.58
7.82,1,8,0,117,1,0,0,4,39,52.9,181.6,7.0,48.93
5.98,10,9,1,11,1,0,0,0,27,50.3,161.6,7.5,46.88
8.84,3,4,5,154,1,0,30,1,46,97.4,176.6,7.5,36.71
7.01,10,5,1,141,1,1,45,5,23,91.5,163.2,8.5,25.41
5.09,4,4,1,37,0,0,0,2,33,59.2,179.8,7.0,29.39
6.71,6,1,4,86,1,0,0,3,34,99.0,191.3,6.5,61.77
